contractSymbol,lastTradeDate,strike,price,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Date,delta,yield_to_strike,Premium,ROC,RSI,Momentum,IV_percentile,NearEarnings,label
NVDA250404C00050000,2025-03-28 19:59:24+00:00,50.0,59.73,58.45,60.95,-2.8100014,-4.493127,125.0,213,2.3437541406249993,True,REGULAR,USD,CALL,2025-03-30,0.3,0.05973,59.73,1.1945999999999999,50,0.0,2.3437541406249993,0,1
NVDA250404C00055000,2025-03-27 13:41:36+00:00,55.0,54.7,53.5,55.95,-1.3800011,-2.4607723,1.0,6,2.2187544531249994,True,REGULAR,USD,CALL,2025-03-30,0.3,0.04972727272727273,54.7,0.9945454545454546,50,0.0,2.2187544531249994,0,1
NVDA250404C00060000,2025-03-28 15:38:44+00:00,60.0,50.35,48.5,50.95,-3.380001,-6.290715,1.0,17,1.9609376953125,True,REGULAR,USD,CALL,2025-03-30,0.3,0.04195833333333334,50.35,0.8391666666666667,50,0.0,1.9609376953125,0,0
NVDA250404C00065000,2025-03-28 19:21:04+00:00,65.0,45.1,43.5,45.95,-1.9,-4.04256,15.0,31,1.71875140625,True,REGULAR,USD,CALL,2025-03-30,0.3,0.034692307692307696,45.1,0.6938461538461539,50,0.0,1.71875140625,0,0
NVDA250404C00070000,2025-03-28 14:36:37+00:00,70.0,39.7,38.8,40.65,-2.7,-6.36793,61.0,245,1.5000025,True,REGULAR,USD,CALL,2025-03-30,0.3,0.02835714285714286,39.7,0.5671428571428572,50,0.0,1.5000025,0,0
NVDA250404C00075000,2025-03-28 19:51:55+00:00,75.0,34.65,33.55,36.0,-3.0999985,-8.211917,1.0,144,1.41015919921875,True,REGULAR,USD,CALL,2025-03-30,0.3,0.0231,34.65,0.46199999999999997,50,0.0,1.41015919921875,0,0
NVDA250404C00080000,2025-03-28 19:45:27+00:00,80.0,29.55,29.5,30.4,-2.17,-6.84111,129.0,405,1.4140654296875002,True,REGULAR,USD,CALL,2025-03-30,0.3,0.018468750000000003,29.55,0.369375,50,0.0,1.4140654296875002,0,0
NVDA250404C00085000,2025-03-28 16:43:00+00:00,85.0,25.3,23.55,26.05,-2.25,-8.166969,3.0,82,1.0293017285156252,True,REGULAR,USD,CALL,2025-03-30,0.3,0.014882352941176472,25.3,0.29764705882352943,50,0.0,1.0293017285156252,0,0
NVDA250404C00090000,2025-03-28 19:54:50+00:00,90.0,19.85,19.55,20.1,-1.75,-8.101851,449.0,390,0.8554701953125,True,REGULAR,USD,CALL,2025-03-30,0.3,0.011027777777777779,19.85,0.22055555555555556,50,0.0,0.8554701953125,0,0
NVDA250404C00095000,2025-03-28 19:56:17+00:00,95.0,14.95,14.75,15.8,-2.5999994,-14.814812,1729.0,236,0.901368173828125,True,REGULAR,USD,CALL,2025-03-30,0.3,0.007868421052631578,14.95,0.15736842105263157,50,0.0,0.901368173828125,0,0
NVDA250404C00100000,2025-03-28 19:59:53+00:00,100.0,10.25,10.1,10.6,-1.8999996,-15.6378565,4727.0,7071,0.6801789794921876,True,REGULAR,USD,CALL,2025-03-30,0.3,0.005125,10.25,0.1025,50,0.0,0.6801789794921876,0,0
NVDA250404C00102000,2025-03-28 19:58:00+00:00,102.0,8.65,8.45,8.6,-1.75,-16.826923,511.0,373,0.6279334082031252,True,REGULAR,USD,CALL,2025-03-30,0.3,0.004240196078431373,8.65,0.08480392156862746,50,0.0,0.6279334082031252,0,0
NVDA250404C00103000,2025-03-28 19:59:55+00:00,103.0,7.7,7.6,7.8,-1.5500002,-16.756758,1580.0,547,0.6186561572265626,True,REGULAR,USD,CALL,2025-03-30,0.3,0.003737864077669903,7.7,0.07475728155339806,50,0.0,0.6186561572265626,0,0
NVDA250404C00104000,2025-03-28 19:59:20+00:00,104.0,6.95,6.85,6.95,-1.6500006,-19.186052,2477.0,2445,0.6084023535156251,True,REGULAR,USD,CALL,2025-03-30,0.3,0.003341346153846154,6.95,0.06682692307692308,50,0.0,0.6084023535156251,0,0
NVDA250404C00105000,2025-03-28 19:59:39+00:00,105.0,6.17,6.1,6.2,-1.4299998,-18.815786,6679.0,1947,0.6020547607421877,True,REGULAR,USD,CALL,2025-03-30,0.3,0.002938095238095238,6.17,0.05876190476190476,50,0.0,0.6020547607421877,0,0
NVDA250404C00106000,2025-03-28 19:58:04+00:00,106.0,5.5,5.4,5.5,-1.3600001,-19.825073,2838.0,2104,0.5976602734375001,True,REGULAR,USD,CALL,2025-03-30,0.3,0.0025943396226415097,5.5,0.05188679245283019,50,0.0,0.5976602734375001,0,0
NVDA250404C00107000,2025-03-28 19:59:24+00:00,107.0,4.75,4.7,4.8,-1.4000001,-22.764229,4319.0,1684,0.584965087890625,True,REGULAR,USD,CALL,2025-03-30,0.3,0.0022196261682242992,4.75,0.04439252336448598,50,0.0,0.584965087890625,0,0
NVDA250404C00108000,2025-03-28 19:59:31+00:00,108.0,4.16,4.1,4.15,-1.3299999,-24.225864,9103.0,3988,0.5786174951171875,True,REGULAR,USD,CALL,2025-03-30,0.3,0.0019259259259259262,4.16,0.03851851851851852,50,0.0,0.5786174951171875,0,0
NVDA250404C00109000,2025-03-28 19:59:59+00:00,109.0,3.53,3.5,3.6,-1.2300003,-25.84034,8764.0,2253,0.5730023168945313,True,REGULAR,USD,CALL,2025-03-30,0.3,0.0016192660550458716,3.53,0.03238532110091743,50,0.0,0.5730023168945313,0,0
NVDA250404C00110000,2025-03-28 19:59:58+00:00,110.0,3.0,2.98,3.05,-1.0700002,-26.289928,38273.0,8776,0.5656781713867188,False,REGULAR,USD,CALL,2025-03-30,0.3,0.0013636363636363637,3.0,0.02727272727272727,50,0.0,0.5656781713867188,0,0
NVDA250404C00111000,2025-03-28 19:59:59+00:00,111.0,2.52,2.5,2.52,-1.05,-29.411762,28005.0,3472,0.5546919531250001,False,REGULAR,USD,CALL,2025-03-30,0.3,0.0011351351351351353,2.52,0.022702702702702703,50,0.0,0.5546919531250001,0,0
NVDA250404C00112000,2025-03-28 19:59:56+00:00,112.0,2.07,2.05,2.09,-0.99,-32.352943,35279.0,5521,0.5463912548828126,False,REGULAR,USD,CALL,2025-03-30,0.3,0.0009241071428571429,2.07,0.018482142857142857,50,0.0,0.5463912548828126,0,0
NVDA250404C00113000,2025-03-28 19:59:59+00:00,113.0,1.68,1.67,1.69,-0.86,-33.85827,29157.0,8838,0.5376022802734376,False,REGULAR,USD,CALL,2025-03-30,0.3,0.0007433628318584072,1.68,0.014867256637168142,50,0.0,0.5376022802734376,0,0
NVDA250404C00114000,2025-03-28 19:59:56+00:00,114.0,1.35,1.34,1.36,-0.7499999,-35.71428,68775.0,8698,0.5310105493164063,False,REGULAR,USD,CALL,2025-03-30,0.3,0.0005921052631578948,1.35,0.011842105263157895,50,0.0,0.5310105493164063,0,0
NVDA250404C00115000,2025-03-28 19:59:56+00:00,115.0,1.07,1.07,1.08,-0.65999997,-38.150288,100226.0,18847,0.5258836474609375,False,REGULAR,USD,CALL,2025-03-30,0.3,0.00046521739130434784,1.07,0.009304347826086957,50,0.0,0.5258836474609375,0,0
NVDA250404C00116000,2025-03-28 19:59:52+00:00,116.0,0.84,0.84,0.85,-0.53000003,-38.686134,20450.0,11275,0.5214891601562499,False,REGULAR,USD,CALL,2025-03-30,0.3,0.00036206896551724136,0.84,0.007241379310344827,50,0.0,0.5214891601562499,0,0
NVDA250404C00117000,2025-03-28 19:59:59+00:00,117.0,0.66,0.66,0.67,-0.44,-39.999996,12063.0,12018,0.5200243310546875,False,REGULAR,USD,CALL,2025-03-30,0.3,0.0002820512820512821,0.66,0.0056410256410256415,50,0.0,0.5200243310546875,0,0
NVDA250404C00118000,2025-03-28 19:59:37+00:00,118.0,0.53,0.52,0.53,-0.37,-41.11111,18213.0,41765,0.5210008837890624,False,REGULAR,USD,CALL,2025-03-30,0.3,0.0002245762711864407,0.53,0.004491525423728814,50,0.0,0.5210008837890624,0,0
NVDA250404C00119000,2025-03-28 19:59:24+00:00,119.0,0.4,0.39,0.4,-0.29,-42.028984,8057.0,9478,0.51562984375,False,REGULAR,USD,CALL,2025-03-30,0.3,0.00016806722689075633,0.4,0.0033613445378151263,50,0.0,0.51562984375,0,0
NVDA250404C00120000,2025-03-28 19:59:58+00:00,120.0,0.31,0.31,0.32,-0.24000001,-43.636364,45829.0,36825,0.5210008837890624,False,REGULAR,USD,CALL,2025-03-30,0.3,0.00012916666666666667,0.31,0.0025833333333333333,50,0.0,0.5210008837890624,0,0
